"Zeitstempel","Please indicate your first name","year","country","cc","company_id","company_name","commercial_name","NIC_id","ASN","company_market_entry","GSM_license","company_listed","company_listed_exchange","company_listed_year","company_unlisted_year","sh_group_name","sh_group_hq","sh_majority_type","sh_share","sh_share_r","sh_group_pol_entourage","sh_group_pol_type","sh_listed","sh_listed_exchange","sh_listed_year","sh_unlisted_year","sh_mother_group_name","sh_mother_group_hq","sh_mother_type","sh_mother_share","sh_mother_share_r","sh_mother_pol_entourage","sh_mother_pol_type","sh_mother_listed","sh_mother_listed_exchange","sh_mother_listed_year","sh_mother_unlisted_year","ind_name","ind_hq","ind_share","ind_share_r","ind_pol_entourage","ind_pol_type","last_name","last_hq","last_pol_entourage","last_pol_type","last_level","last_level_comp","last_level_comp_type","source_shareholder1","source_shareholder2","source_shareholder3","source_lastshareholder","Based on your coding experience for this particular year of the ISP company, is a validity check more needed than elsewhere?","comments"
"02.03.2023 09:18:10","Tobias",2021,"Algeria","ALG","ALG1","Algerie Telecom (Mobilis)","Mobilis","ORG-TA23-AFRINIC","33774, 36947, 327712",2003,1999,0,NA,NA,NA,"Government of Algeria","Algeria","state","100",100,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"perma.cc/872D-FFBS",NA,NA,NA,"No, it should be fine for now (until we implement further intercoder reliability tests)","-"
"02.03.2023 09:23:49","Tobias",2020,"Algeria","ALG","ALG1","Algerie Telecom (Mobilis)","Mobilis","ORG-TA23-AFRINIC","33774, 36947, 327712",2003,1999,0,NA,NA,NA,"Government of Algeria","Algeria","state","100",100,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"perma.cc/872D-FFBS",NA,NA,NA,"No, it should be fine for now (until we implement further intercoder reliability tests)","-"
"01.04.2023 12:34:31","Tobias",2022,"Algeria","ALG","ALG2","Djezzy (Optimum Telecom, Orascom Telecom)","Djezzy","ORG-OTA3-AFRINIC","327931",2002,2002,0,NA,NA,NA,"Government of Algeria","Algeria","state","almost 100",96.57,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"perma.cc/T9NA-9BKM & VEON annual report 2021",NA,NA,NA,"No, it should be fine for now (until we implement further intercoder reliability tests)","1st source is in french"
"01.04.2023 12:28:40","Tobias",2021,"Algeria","ALG","ALG2","Djezzy (Optimum Telecom, Orascom Telecom)","Djezzy","ORG-OTA3-AFRINIC","327931",2002,2002,0,NA,NA,NA,"Government of Algeria","Algeria","state","almost 100",96.57,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VEON annual report 2021",NA,NA,NA,"No, it should be fine for now (until we implement further intercoder reliability tests)","-"
"25.03.2023 20:24:29","Tobias",2021,"Algeria","ALG","ALG2","Djezzy (Optimum Telecom, Orascom Telecom)","Djezzy","ORG-OTA3-AFRINIC","327931",2002,2002,0,NA,NA,NA,"Global Telecom Holding","Egypt","-","45.4",45.4,"0",NA,1,"Egyptian Exchange, London Stock Exchange","2000,NA","2019,NA","VEON","Netherlands","corporation","99.6",99.6,0,NA,1,"NASDAQ, Euronext Amsterdam","?,?","NA,NA","LetterOne","Luxembourg","47.9",47.9,0,NA,"Mikhail Fridman",NA,0,NA,4,"LetterOne","corporation","VEON annual report 2020","VEON annual report 2020","VEON annual report 2020",NA,"No, it should be fine for now (until we implement further intercoder reliability tests)","source PDF is saved locally and can publicly be accessed at https://www.veon.com/investors/reports-results/reports-results/?category=annual-reports-20f; Source for final sh level is: https://perma.cc/VP53-GZGD"
"08.03.2023 20:42:32","Tobias",2020,"Algeria","ALG","ALG2","Djezzy (Optimum Telecom, Orascom Telecom)","Djezzy","ORG-OTA3-AFRINIC","327931",2002,2002,0,NA,NA,NA,"Government of Algeria","Algeria","state","51",51,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"VEON Ltd. annual report for 2021 www.veon.com/investors/reports-results/reports-results/?category=annual-reports-20f",NA,NA,NA,"Yes, validity check urgently needed","website of djezzy (www.djezzy.dz) not reachable"
"25.03.2023 20:05:43","Tobias",2020,"Algeria","ALG","ALG2","Djezzy (Optimum Telecom, Orascom Telecom)","Djezzy","ORG-OTA3-AFRINIC","327931",2002,2002,0,NA,NA,NA,"Global Telecom Holding","Egypt","-","45.4",45.4,"0",NA,0,"Egyptian Exchange, London Stock Exchange","2000,NA","2019,NA","VEON (Vimpelcom)","Netherlands","corporation","99.6",99.6,0,NA,1,"NASDAQ, Euronext Amsterdam","?,?","NA,NA","Float",NA,"43.8",43.8,0,NA,NA,NA,NA,NA,NA,NA,NA,"VEON annual report 2020 (pdf)","VEON annual report 2020 (pdf)","VEON annual report 2020 (pdf)",NA,"No, it should be fine for now (until we implement further intercoder reliability tests)","PDF of source is saved locally and can be publically accessed via https://www.veon.com/investors/reports-results/reports-results/?category=annual-reports-20f"
"01.04.2023 11:56:10","Tobias",2020,"Algeria","ALG","ALG2","Djezzy (Optimum Telecom, Orascom Telecom)","Djezzy","ORG-OTA3-AFRINIC","327931",2002,2002,0,NA,NA,NA,"Global Telecom Holding","Egypt",NA,"45.4",45.4,"0",NA,1,"Egyptian Exchange, London Stock Exchange","2000,NA","2019,NA","VEON","Netherlands","corporation","99.6",99.6,0,NA,1,"NASDAQ, Euronext Amsterdam","?,?","NA,NA","Stichting Administratiekantoor Mobile Telecommunications Investor (Foundation)","Netherlands","8.3",8.3,NA,NA,"Mikhail Fridman",NA,0,"0",5,"LetterOne","corporation","VEON annual report 2020","VEON annual report 2020","VEON annual report 2020","VEON annual report 2020 & perma.cc/VP53-GZGD","Yes, validity check urgently needed","According to Veon's annual report of 2020 LetterOne is the holder of the depositary receipts issued by the  ""Stichting Administratiekantoor Mobile Telecommunications Investor"" and is therefore entitled to the economic benefits (dividend payments,
other distributions and sale proceeds). Fridman is also 'last_name' for LetterOne, so he is coded to be so for the Stichting as well. However, it is not possible to say who is in charge of the Stichting directly, as the Stichting has no public presence."
"09.05.2023 17:59:58","Tobias",2022,"Algeria","ALG","ALG3","Ooredoo Algeria (Nedjma, Wataniya Algeria)","Ooredoo","ORG-WTA1-AFRINIC","33779",2004,2004,0,NA,NA,NA,"Ooredoo Group","Qatar",NA,"74.4",74.4,NA,NA,1,"Abu Dhabi Stock Exchange,Qatar Stock Exchange","2002,1998",NA,"Qatar Investment Authority (via Qatar Holding)","Qatar","state","52",52,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"perma.cc/34CQ-VT2K (p. 133)","perma.cc/34CQ-VT2K (p. 105)",NA,NA,"No, it should be fine for now (until we implement further intercoder reliability tests)",NA
"09.05.2023 18:08:49","Tobias",2022,"Algeria","ALG","ALG3","Ooredoo Algeria (Nedjma, Wataniya Algeria)","Ooredoo","ORG-WTA1-AFRINIC","33779",2004,2004,0,NA,NA,NA,"Ooredoo Group","Qatar",NA,"74.4",74.4,NA,NA,1,"Abu Dhabi Stock Exchange,Qatar Stock Exchange","2002,1998",NA,"General Retirement & Social Insurance Authority","Qatar","state","13",13,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"perma.cc/34CQ-VT2K (p. 133)","perma.cc/34CQ-VT2K (p. 105)",NA,NA,"No, it should be fine for now (until we implement further intercoder reliability tests)",NA
